text	stwr
Katerina Lwowna hört indessen, wie ihr Mann dicht vor die Türe kommt und mit verhaltenem Atem lauscht.	NN
Sie hört sogar sein Herz vor Eifersucht klopfen; sie fühlt aber kein Mitleid, sondern nur ein böses Lachen in sich aufsteigen.	NN
» Ja, suche nur den gestrigen Tag! « denkt sie sich und lächelt so unschuldig wie ein neugeborenes Kind.	DS
Das dauerte an die zehn Minuten.	NN
Schließlich wurde es Sinowij Borissowitsch zu dumm, draußen zu stehen und zu lauschen, wie seine Frau schläft.	NN
Er klopfte an.	NN
» Wer ist da? « rief Katerina Lwowna nach einer Weile mit verschlafener Stimme.	DS
Einer von der Familie «, antwortete Sinowij Borissowitsch.	DS
» Bist du es, Sinowij Borissowitsch? «	DS
» Natürlich!	DS
Als ob du es nicht hörtest! «	DS
Katerina Lwowna sprang im bloßen Hemd auf, ließ den Mann ein und schlüpfte wieder in das warme Bett.	NN
» Vor Sonnenaufgang ist es immer so kalt, « sagte sie, sich in die Decke hüllend.	DS
Sinowij Borissowitsch trat ein, sah sich um, betete vor dem Heiligenbilde und sah sich wieder um.	RP
» Nun, wie geht es dir? « fragte er seine Frau.	DS
» Es geht «, antwortete Katerina Lwowna, sich aufsetzend und eine vorne offene Jacke anziehend.	DS
» Ich soll wohl den Samowar bereiten? « fragte sie.	DS
» Nein, wecke die Aksinja, daß sie es macht . «	DS
Katerina Lwowna schlüpfte in die Schuhe und lief hinaus.	NN
Eine halbe Stunde blieb sie fort.	NN
In dieser Zeit machte sie den Samowar und schlich sich leise auf die Galerie hinaus.	NN
» Bleib da! « flüsterte sie Ssergej zu.	DS
» Wie lange soll ich nochsitzen? « fragte Sserjoscha gleichfalls flüsternd.	DS
» Wie dumm du doch bist!	DS
Sitz, bis ich dich rufe. «	DS
Und Katerina Lwowna setzte ihn wieder auf die gleiche Stelle hin.	NN
Ssergej konnte aber von der Galerie alles hören, was im Schlafzimmer vorging.	NN
Er hörte, wie die Türe wieder aufging und wie Katerina Lwowna zu ihrem Mann zurückkehrte.	NN
Jedes Wort konnte er hören.	RP
» Was hast du so lange getrieben? « fragte Sinowij Borissowitsch seine Frau.	DS
Den Samowar habe ich gemacht «, antwortet sie ruhig.	DS
Es vergehen wieder einige Minuten.	NN
Ssergej hört, wie Sinowij Borissowitsch seinen Rock auf den Kleiderrechen hängt.	NN
Nun wäscht er sich und spritzt mit dem Wasser umher; dann läßt er sich ein Handtuch geben; dann beginnt er wieder ein Gespräch.	RP
» Wie habt ihr den Vater beerdigt? « fragt er.	DS
» Er ist verschieden, und wir haben ihn beerdigt «, antwortet sie.	DS
» Das ist doch wirklich sonderbar! «	DS
» Gott allein weiß, wie es gekommen ist, « antwortet Katerina Lwowna, mit den Teetassen klappernd.	DS
Sinowij Borissowitsch geht nachdenklich durch das Zimmer.	NN
»Nun, und wie hast du die Zeit verbracht? « fragt Sinowij Borissowitsch seine Frau von neuem aus.	DS
» Ich glaube, unser Zeitvertreib ist jedermann bekannt; Bälle besuchen wir nicht, Theater ebenfalls nicht. «	DS
» Du scheinst dich aber wenig über die Rückkehr des Gatten zu freuen! « beginnt Sinowij Borissowitsch wieder, sie scheel anblickend.	DS
» Wir beide sind ja nicht mehr so jung, daß wir vor Freude den Verstand verlieren sollen!	DS
Was soll ich mich auch freuen?	DS
Nun muß ich wieder für dich arbeiten und herumrennen! «	DS
Katerina Lwowna lief hinaus, um den Samowar zu holen, machte wieder einen Sprung auf die Galerie zu Ssergej, zupfte ihn am Ärmel und sagte ihm:	NN
» Sserjoscha, paß jetzt auf! «	DS
